Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",2,0.000,0.000,2,1,0,0,2,0,0,0,0,0,1,0.000,0.000
9,"Feb 24, 2020",2,0.000,0.000,2,0,1,0,2,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",2,0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",2,0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",3,0.000,0.000,3,1,0,1,3,0,0,0,0,0,1,0.000,0.000
13,"Feb 28, 2020",6,0.000,100.000,7,4,2,1,6,0,0,0,0,1,4,0.000,100.000
14,"Feb 29, 2020",6,0.000,100.000,7,0,2,1,6,0,0,0,0,0,0,0.000,100.000
15,"Mar 01, 2020",9,0.000,100.000,10,3,2,1,9,0,0,0,0,0,3,0.000,100.000
16,"Mar 02, 2020",11,0.000,100.000,12,2,2,1,11,0,0,0,0,0,2,0.000,100.000
17,"Mar 03, 2020",11,0.000,100.000,12,0,1,2,11,0,0,0,0,0,0,0.000,100.000
18,"Mar 04, 2020",14,0.000,100.000,15,3,2,1,14,0,0,0,0,0,3,0.000,100.000
19,"Mar 05, 2020",15,0.000,100.000,17,2,2,2,15,0,0,0,0,1,2,0.000,100.000
20,"Mar 06, 2020",19,0.000,100.000,21,4,3,2,19,0,0,0,0,0,4,0.000,100.000
21,"Mar 07, 2020",22,0.000,100.000,25,4,3,3,22,0,0,0,0,1,4,0.000,100.000
22,"Mar 08, 2020",36,0.000,100.000,39,14,7,4,36,0,0,0,0,0,14,0.000,100.000
23,"Mar 09, 2020",46,0.000,100.000,50,11,10,6,46,0,0,0,0,1,11,0.000,100.000
24,"Mar 10, 2020",71,0.000,100.000,75,25,17,9,71,0,0,0,0,0,25,0.000,100.000
25,"Mar 11, 2020",93,0.000,100.000,97,22,19,11,93,0,0,0,0,0,22,0.000,100.000
26,"Mar 12, 2020",105,0.000,100.000,109,12,20,13,105,0,0,0,0,0,12,0.000,100.000
27,"Mar 13, 2020",139,0.000,100.000,143,34,22,18,139,0,0,0,0,0,34,0.000,100.000
28,"Mar 14, 2020",189,0.000,100.000,193,50,32,24,189,0,0,0,0,0,50,0.000,100.000
29,"Mar 15, 2020",209,0.000,100.000,213,20,35,25,209,0,0,0,0,0,20,0.000,100.000
30,"Mar 16, 2020",294,0.000,100.000,298,85,52,35,294,0,0,0,0,0,85,0.000,100.000
31,"Mar 17, 2020",326,0.000,100.000,337,39,48,38,326,0,0,0,0,7,39,0.000,100.000
32,"Mar 18, 2020",422,0.000,100.000,433,96,73,48,422,0,0,0,0,0,96,0.000,100.000
33,"Mar 19, 2020",663,0.000,100.000,677,244,126,81,663,0,0,0,0,3,244,0.000,100.000
34,"Mar 20, 2020",689,6.250,93.750,705,28,123,80,689,1,1,0,0,1,28,6.250,93.750
35,"Mar 21, 2020",846,2.700,97.300,883,178,150,99,846,1,0,0,0,21,178,2.700,97.300
36,"Mar 22, 2020",1033,2.630,97.370,1071,188,131,122,1033,1,0,0,0,1,188,2.630,97.370
37,"Mar 23, 2020",1400,2.380,97.620,1442,371,246,164,1400,1,0,0,0,4,371,2.380,97.620
38,"Mar 24, 2020",1874,5.360,94.640,1930,488,349,227,1874,3,2,1,0,12,488,5.360,94.640
39,"Mar 25, 2020",2306,7.940,92.060,2369,439,433,277,2306,5,2,1,1,5,439,7.940,92.060
40,"Mar 26, 2020",2617,10.530,89.470,2693,324,417,288,2617,8,3,2,1,10,324,10.530,89.470
41,"Mar 27, 2020",2944,13.190,86.810,3035,342,368,333,2944,12,4,3,1,11,342,13.190,86.810
42,"Mar 28, 2020",3518,11.880,88.120,3619,584,417,390,3518,12,0,3,2,10,584,11.880,88.120
43,"Mar 29, 2020",4100,10.200,89.800,4247,628,518,454,4100,15,3,2,2,43,628,10.200,89.800
44,"Mar 30, 2020",4518,9.040,90.960,4695,448,553,465,4518,16,1,1,2,29,448,9.040,90.960
45,"Mar 31, 2020",5114,8.200,91.800,5358,663,580,490,5114,20,4,3,3,63,663,8.200,91.800
46,"Apr 01, 2020",5825,9.740,90.260,6092,734,615,531,5825,26,6,4,3,17,734,9.740,90.260
47,"Apr 02, 2020",6483,9.630,90.370,6857,765,720,595,6483,36,10,6,4,97,765,9.630,90.370
48,"Apr 03, 2020",6985,9.030,90.970,7428,571,690,628,6985,40,4,7,4,65,571,9.030,90.970
49,"Apr 04, 2020",7380,9.340,90.660,7851,423,587,604,7380,44,4,6,4,24,423,9.340,90.660
50,"Apr 05, 2020",7904,9.320,90.680,8430,579,524,598,7904,49,5,4,5,50,579,9.320,90.680
51,"Apr 06, 2020",8262,8.880,91.120,8904,474,492,601,8262,57,8,6,6,108,474,8.880,91.120
52,"Apr 07, 2020",8413,7.780,92.220,9248,344,466,556,8413,65,8,7,6,185,344,7.780,92.220
53,"Apr 08, 2020",8530,8.350,91.650,9404,156,324,473,8530,73,8,8,7,31,156,8.350,91.650
54,"Apr 09, 2020",8871,7.840,92.160,9968,564,355,445,8871,86,13,10,7,210,564,7.840,92.160
55,"Apr 10, 2020",9130,7.430,92.570,10408,440,387,425,9130,95,9,10,8,172,440,7.430,92.570
56,"Apr 11, 2020",9301,7.000,93.000,10743,335,446,413,9301,101,6,9,8,158,335,7.000,93.000
57,"Apr 12, 2020",9415,5.950,94.050,11145,402,392,388,9415,103,2,6,8,286,402,5.950,94.050
58,"Apr 13, 2020",9615,5.890,94.110,11586,441,393,383,9615,116,13,7,8,228,441,5.890,94.110
59,"Apr 14, 2020",9728,5.310,94.690,12046,460,434,400,9728,123,7,7,9,340,460,5.310,94.690
60,"Apr 15, 2020",9808,4.830,95.170,12501,455,452,443,9808,130,7,9,8,368,455,4.830,95.170
61,"Apr 16, 2020",9798,4.800,95.200,12758,257,391,398,9798,142,12,9,8,255,257,4.800,95.200
62,"Apr 17, 2020",9705,4.610,95.390,12982,224,312,368,9705,151,9,9,8,308,224,4.610,95.390
63,"Apr 18, 2020",9645,4.530,95.470,13265,283,255,360,9645,164,13,11,9,330,283,4.530,95.470
64,"Apr 19, 2020",9565,4.380,95.620,13491,226,244,335,9565,172,8,10,10,298,226,4.380,95.620
65,"Apr 20, 2020",9487,4.190,95.810,13713,222,244,304,9487,177,5,9,8,295,222,4.190,95.810
66,"Apr 21, 2020",9251,3.920,96.080,13942,229,225,271,9251,184,7,7,9,458,229,3.920,96.080
67,"Apr 22, 2020",9094,3.500,96.500,14498,556,336,285,9094,189,5,5,8,708,556,3.500,96.500
68,"Apr 23, 2020",9000,3.310,96.690,14803,305,363,292,9000,192,3,5,8,396,305,3.310,96.690
69,"Apr 24, 2020",8861,3.130,96.870,15058,255,372,297,8861,194,2,4,6,392,255,3.130,96.870
70,"Apr 25, 2020",8664,3.000,97.000,15298,240,267,290,8664,199,5,3,5,432,240,3.000,97.000
71,"Apr 26, 2020",8511,2.900,97.100,15443,145,213,279,8511,201,2,3,4,296,145,2.900,97.100
72,"Apr 27, 2020",8151,2.760,97.240,15555,112,166,263,8151,204,3,3,4,469,112,2.760,97.240
73,"Apr 28, 2020",7772,2.640,97.360,15728,173,143,256,7772,210,6,4,3,546,173,2.640,97.360
74,"Apr 29, 2020",7386,2.540,97.460,15834,106,131,190,7386,215,5,5,4,487,106,2.540,97.460
75,"Apr 30, 2020",7163,2.530,97.470,15946,112,130,164,7163,222,7,6,4,328,112,2.530,97.470
76,"May 01, 2020",6720,2.400,97.600,16101,155,124,149,6720,225,3,5,5,595,155,2.400,97.600
77,"May 02, 2020",6363,2.330,97.670,16185,84,117,126,6363,229,4,4,4,437,84,2.330,97.670
78,"May 03, 2020",6227,2.320,97.680,16208,23,88,110,6227,232,3,4,5,156,23,2.320,97.680
79,"May 04, 2020",5947,2.280,97.720,16246,38,48,98,5947,235,3,3,4,315,38,2.280,97.720
80,"May 05, 2020",5586,2.220,97.780,16289,43,35,81,5586,238,3,3,4,401,43,2.220,97.780
81,"May 06, 2020",5434,2.200,97.800,16310,21,34,68,5434,239,1,2,3,172,21,2.200,97.800
82,"May 07, 2020",5268,2.160,97.840,16381,71,45,62,5268,240,1,2,3,236,71,2.160,97.840
83,"May 08, 2020",4962,2.140,97.860,16436,55,49,48,4962,245,5,2,3,356,55,2.140,97.860
84,"May 09, 2020",4831,2.130,97.870,16454,18,48,38,4831,247,2,3,2,147,18,2.130,97.870
85,"May 10, 2020",4795,2.160,97.840,16477,23,32,38,4795,252,5,4,3,54,23,2.160,97.840
86,"May 11, 2020",4405,2.130,97.870,16506,29,23,38,4405,258,6,4,4,413,29,2.130,97.870
87,"May 12, 2020",4186,2.110,97.890,16529,23,25,34,4186,260,2,5,3,240,23,2.110,97.890
88,"May 13, 2020",4052,2.110,97.890,16548,19,24,34,4052,264,4,4,3,149,19,2.110,97.890
89,"May 14, 2020",3793,2.070,97.930,16579,31,24,28,3793,265,1,2,4,289,31,2.070,97.930
90,"May 15, 2020",3736,2.070,97.930,16589,10,20,22,3736,266,1,2,3,66,10,2.070,97.930
91,"May 16, 2020",3484,2.040,97.960,16607,18,20,22,3484,268,2,1,3,268,18,2.040,97.960
92,"May 17, 2020",3403,2.060,97.940,16617,10,12,20,3403,272,4,3,3,87,10,2.060,97.940
93,"May 18, 2020",3114,2.040,97.960,16643,26,18,19,3114,276,4,3,2,311,26,2.040,97.960
94,"May 19, 2020",2946,2.030,97.970,16659,16,18,19,2946,278,2,3,3,182,16,2.030,97.970
95,"May 20, 2020",2884,2.020,97.980,16667,8,16,17,2884,279,1,3,2,69,8,2.020,97.980
96,"May 21, 2020",2680,1.990,98.010,16683,16,14,15,2680,279,0,1,2,220,16,1.990,98.010
97,"May 22, 2020",2496,1.970,98.030,16690,7,10,14,2496,279,0,0,2,191,7,1.970,98.030
98,"May 23, 2020",2343,1.940,98.060,16712,22,15,15,2343,279,0,0,1,175,22,1.940,98.060
